"Número de pedido";"Fecha de creación";"Gestion";"Estado";"Fulfillment Status";"Tracking status";"Delivery Tracking ID";"Delivery Transaction ID";"Originating Channel";"Origin Store Location: Name"
"230396784";"14/11/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323838240";"000230396784001";"Call Center";"Konecta Recambio"
"228550339";"07/07/2021";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323747900";"000228550339001";"Call Center";"Konecta Recambio"
"230554293";"14/11/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323841520";"000230554293001";"Call Center";"CAT TECHNOLOGIES"
"230597090";"03/05/2021";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323842560";"000230597090001";"Call Center";"CAT TECHNOLOGIES"
"229905013";"18/02/2021";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323815950";"000229905013001";"Call Center";"Teleperformance Ventas"
"229249332";"26/09/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323797190";"000229249332001";"E-Commerce";"Community"
"230553629";"26/09/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323837620";"000230553629001";"E-Commerce";"Community"
"230771673";"24/07/2023";"Venta PortIn";"Iniciada";"In Progress";"Despachado";"900000323850010";"000230771673001";"Call Center";"CAT TECHNOLOGIES"
"230048698";"27/06/2022";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323828640";"000230048698001";"Call Center";"Konecta Recambio"
"230468688";"14/11/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323839720";"000230468688001";"Call Center";"CAT TECHNOLOGIES"
"228567610";"18/02/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323753260";"000228567610001";"E-Commerce";"Community"
"230522771";"17/08/2021";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323840740";"000230522771001";"Call Center";"Activo Contact Center"
"230099664";"13/11/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323825170";"000230099664001";"Call Center";"Activo Contact Center"
"230032923";"02/11/2020";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323823800";"000230032923001";"Call Center";"Activo Contact Center"
"229810775";"14/10/2022";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323813340";"000229810775001";"Call Center";"Konecta Recambio"
"229905760";"17/07/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323819910";"000229905760001";"E-Commerce";"Community"
"229853327";"13/11/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323814640";"000229853327001";"Call Center";"Activo Contact Center"
"229827734";"31/10/2023";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323818440";"000229827734001";"E-Commerce";"Community"
"229825504";"13/11/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323813880";"000229825504001";"Call Center";"CAT TECHNOLOGIES"
"230583381";"26/09/2020";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323842190";"000230583381001";"Call Center";"Konecta Recambio"
"229508020";"19/05/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323807770";"000229508020001";"E-Commerce";"Community"
"228882490";"05/11/2020";"Venta PortIn";"Activada";"Activated";"Despachado";"G00000998996730";"000228882490001";"Call Center";"Konecta Recambio"
"229778987";"18/10/2020";"Cambio de SIM";"Iniciada";"In Progress";"Factura Emitida";"";"";"Social Media";"Teleperformance Whatsapp"
"228491556";"06/03/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323742490";"000228491556001";"E-Commerce";"Community"
"229146504";"26/09/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323786010";"000229146504001";"E-Commerce";"Community"
"230145392";"03/05/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323831110";"000230145392001";"E-Commerce";"Community"
"230349935";"02/03/2022";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323833370";"000230349935001";"E-Commerce";"Community"
"229946086";"26/10/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323759500";"000229946086001";"Call Center";"Konecta Recambio"
"228753278";"08/02/2022";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323750960";"000228753278001";"Call Center";"Konecta Recambio"
"229867025";"27/06/2023";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323818980";"000229867025001";"Call Center";"Konecta Recambio"
"230600905";"03/05/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323845790";"000230600905001";"E-Commerce";"Community"
"230522511";"22/04/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323840720";"000230522511001";"Call Center";"CAT TECHNOLOGIES"
"228737631";"12/04/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323766520";"000228737631001";"Call Center";"Teleperformance Ventas"
"229168499";"12/04/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323787150";"000229168499001";"E-Commerce";"Community"
"230276787";"01/09/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323832030";"000230276787001";"E-Commerce";"Community"
"229435364";"12/11/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323791170";"000229435364001";"Call Center";"CAT TECHNOLOGIES"
"229944812";"17/12/2021";"Venta PortIn";"Activada";"Activated";"Despachado";"G00000998389160";"000229944812001";"Call Center";"Activo Contact Center"
"229439094";"26/09/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323803220";"000229439094001";"E-Commerce";"Community"
"230318584";"06/10/2022";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323826640";"000230318584001";"Call Center";"Teleperformance Ventas"
"228508243";"03/05/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323743610";"000228508243001";"E-Commerce";"Community"
"229945179";"13/11/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323816850";"000229945179001";"Call Center";"CCT Rosario"
"229837429";"17/08/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323818600";"000229837429001";"E-Commerce";"Community"
"229287045";"17/08/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323799150";"000229287045001";"E-Commerce";"Community"
"230598498";"04/05/2021";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323842620";"000230598498001";"Call Center";"Teleperformance Ventas"
"230277669";"18/11/2022";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323825910";"000230277669001";"Call Center";"Teleperformance Ventas"
"230771032";"15/11/2023";"Venta PortIn";"Iniciada";"In Progress";"Despachado";"900000323850030";"000230771032001";"Call Center";"Teleperformance Ventas"
"229285867";"02/11/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323799080";"000229285867001";"E-Commerce";"Community"
"230471625";"01/02/2022";"Venta PortIn";"Activada";"Activated";"Despachado";"G00001000084840";"000230471625001";"Call Center";"CAT TECHNOLOGIES"
"228509116";"02/11/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323743690";"000228509116001";"E-Commerce";"Community"
"229809800";"12/04/2022";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323813380";"000229809800001";"Call Center";"Konecta Recambio"
"230592709";"10/11/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323845490";"000230592709001";"E-Commerce";"Community"
"228489674";"09/11/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323746590";"000228489674001";"Call Center";"Konecta Recambio"
"229377421";"11/04/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323802750";"000229377421001";"E-Commerce";"Community"
"229063011";"22/03/2022";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323784690";"000229063011001";"E-Commerce";"Community"
"229347296";"12/04/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323802350";"000229347296001";"E-Commerce";"Community"
"229869992";"17/12/2020";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323759200";"000229869992001";"Call Center";"Teleperformance Ventas"
"229147841";"31/10/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323788970";"000229147841001";"Call Center";"Teleperformance Ventas"
"230493460";"14/11/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"G00001000084910";"000230493460001";"Call Center";"Konecta Recambio"
"229476659";"19/05/2023";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323805270";"000229476659001";"E-Commerce";"Community"
"230497493";"26/09/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323836270";"000230497493001";"E-Commerce";"Community"
"229148787";"08/01/2022";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323758140";"000229148787001";"Call Center";"Konecta Recambio"
"228509357";"30/01/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"G00000997869040";"000228509357001";"Call Center";"Activo Contact Center"
"229911642";"05/10/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323820310";"000229911642001";"Call Center";"Contingencia Telefónica OC"
"229066681";"17/12/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323784710";"000229066681001";"E-Commerce";"Community"
"230103983";"02/11/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323830150";"000230103983001";"E-Commerce";"Community"
"230490222";"20/07/2022";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323836140";"000230490222001";"Call Center";"Activo Contact Center"
"230575675";"17/08/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323844870";"000230575675001";"E-Commerce";"Community"
"228739391";"11/04/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323766500";"000228739391001";"E-Commerce";"Community"
"230640272";"12/04/2021";"Venta";"Iniciada";"In Progress";"Despachado";"900000323847060";"000230640272001";"E-Commerce";"Community"
"229755708";"27/06/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323792360";"000229755708001";"Call Center";"Teleperformance Ventas"
"229467019";"15/07/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"3532000229467019001";"000229467019001";"E-Commerce";"Community"
"228840938";"05/11/2020";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323773930";"000228840938001";"Call Center";"Konecta Recambio"
"229251829";"02/11/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"3532000229251829001";"000229251829001";"E-Commerce";"Community"
"229920474";"06/03/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"G00000997859560";"000229920474001";"E-Commerce";"Community"
"230350017";"03/05/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323833380";"000230350017001";"E-Commerce";"Community"
"228782063";"18/04/2022";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323768040";"000228782063001";"Call Center";"Konecta Recambio"
"230470273";"30/01/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323839730";"000230470273001";"Call Center";"Teleperformance Ventas"
"228565708";"20/05/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323753310";"000228565708001";"Call Center";"Teleperformance Ventas"
"230399527";"17/08/2021";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323838270";"000230399527001";"Call Center";"Konecta Recambio"
"229520474";"24/02/2022";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323808690";"000229520474001";"E-Commerce";"Community"
"228566594";"12/04/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323753500";"000228566594001";"Call Center";"Konecta Recambio"
"230598240";"03/05/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323845730";"000230598240001";"E-Commerce";"Community"
"228898010";"10/11/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323775470";"000228898010001";"Call Center";"CAT TECHNOLOGIES"
"229891279";"18/02/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323819540";"000229891279001";"E-Commerce";"Community"
"228524958";"09/11/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323558180";"000228524958001";"Call Center";"Konecta Recambio"
"229892138";"31/01/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323759270";"000229892138001";"Call Center";"CAT TECHNOLOGIES"
"228550549";"05/11/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"3532000228550549001";"000228550549001";"E-Commerce";"Community"
"228928280";"22/03/2022";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323778670";"000228928280001";"E-Commerce";"Community"
"228332175";"09/11/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"G00000997868140";"000228332175001";"Call Center";"CAT TECHNOLOGIES"
"229892085";"02/11/2020";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323759260";"000229892085001";"Call Center";"Teleperformance Ventas"
"229507969";"04/05/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323807740";"000229507969001";"E-Commerce";"Community"
"230398823";"11/04/2021";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323838370";"000230398823001";"Call Center";"CCT Rosario"
"230545820";"02/11/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323837400";"000230545820001";"E-Commerce";"Community"
"228491465";"04/05/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323742470";"000228491465001";"E-Commerce";"Community"
"229377088";"17/12/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323802740";"000229377088001";"E-Commerce";"Community"
"230278103";"19/05/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323832050";"000230278103001";"E-Commerce";"Community"
"230349828";"17/08/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323833360";"000230349828001";"E-Commerce";"Community"
"229371796";"02/11/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323802660";"000229371796001";"E-Commerce";"Community"
"229536433";"03/05/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323810100";"000229536433001";"E-Commerce";"Community"
"230800953";"15/11/2023";"Venta";"Iniciada";"In Progress";"Despachado";"900000323849010";"000230800953001";"Call Center";"Activo Contact Center"
"230573818";"14/11/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323841980";"000230573818001";"Call Center";"Teleperformance Ventas"
"229250275";"02/08/2022";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323797240";"000229250275001";"E-Commerce";"Community"
"229203547";"27/09/2020";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323758320";"000229203547001";"Call Center";"Konecta Recambio"
"229537123";"05/11/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323810220";"000229537123001";"E-Commerce";"Community"
"229438060";"03/05/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323803200";"000229438060001";"E-Commerce";"Community"
"230003775";"13/11/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323823440";"000230003775001";"Call Center";"CAT TECHNOLOGIES"
"229008011";"21/05/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323782350";"000229008011001";"E-Commerce";"Community"
"229163801";"30/01/2023";"Venta";"Iniciada";"In Progress";"Factura Emitida";"3532000229163801001";"000229163801001";"E-Commerce";"Community"
"230554441";"09/11/2023";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323837630";"000230554441001";"E-Commerce";"Community"
"229920958";"14/04/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323816420";"000229920958001";"Call Center";"Teleperformance Ventas"
"229465344";"15/01/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323804480";"000229465344001";"E-Commerce";"Community"
"229536454";"14/07/2022";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323810110";"000229536454001";"E-Commerce";"Community"
"228640414";"04/05/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323763820";"000228640414001";"E-Commerce";"Community"
"228752208";"05/10/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323767090";"000228752208001";"E-Commerce";"Community"
"229906479";"13/11/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323816050";"000229906479001";"Call Center";"Konecta Recambio"
"229289884";"12/04/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323799370";"000229289884001";"E-Commerce";"Community"
"230400246";"03/05/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323834480";"000230400246001";"E-Commerce";"Community"
"229229531";"01/11/2023";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323796060";"000229229531001";"E-Commerce";"Community"
"228724074";"05/11/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323766130";"000228724074001";"Call Center";"Konecta Recambio"
"230100279";"06/03/2021";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323760040";"000230100279001";"Call Center";"Teleperformance Ventas"
"230471752";"28/05/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323835700";"000230471752001";"E-Commerce";"Community"
"229519363";"26/09/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323808620";"000229519363001";"E-Commerce";"Community"
"228783542";"08/03/2021";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323772300";"000228783542001";"Call Center";"Konecta Recambio"
"230471817";"14/04/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"G00000999000820";"000230471817001";"Call Center";"Apex Ventas"
"229163942";"17/12/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323786930";"000229163942001";"E-Commerce";"Community"
"229536531";"11/04/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323810150";"000229536531001";"E-Commerce";"Community"
"229759021";"05/10/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323812010";"000229759021001";"Call Center";"Konecta Recambio"
"229498381";"12/04/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323807120";"000229498381001";"E-Commerce";"Community"
"229508783";"05/11/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323807860";"000229508783001";"E-Commerce";"Community"
"228739407";"05/11/2020";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323750670";"000228739407001";"Call Center";"Konecta Recambio"
"229837235";"15/09/2021";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323814200";"000229837235001";"Call Center";"Konecta Recambio"
"229520834";"12/04/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"3532000229520834001";"000229520834001";"E-Commerce";"Community"
"229477490";"08/03/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323805330";"000229477490001";"E-Commerce";"Community"
"228697424";"30/09/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323764950";"000228697424001";"E-Commerce";"Community"
"230404163";"28/09/2020";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323838350";"000230404163001";"Call Center";"Konecta Recambio"
"229811780";"21/05/2020";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323813700";"000229811780001";"Call Center";"Konecta Recambio"
"230303190";"06/11/2020";"Venta PortIn";"Activada";"Activated";"Despachado";"G00000999000180";"000230303190001";"Call Center";"Konecta Recambio"
"229008895";"17/12/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323782430";"000229008895001";"E-Commerce";"Community"
"229216845";"27/12/2022";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323795250";"000229216845001";"E-Commerce";"Community"
"228945730";"10/11/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323776660";"000228945730001";"Call Center";"CAT TECHNOLOGIES"
"229994216";"13/11/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"G00000998389380";"000229994216001";"Call Center";"CAT TECHNOLOGIES"
"230538747";"14/11/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323841200";"000230538747001";"Call Center";"Konecta Recambio"
"230491135";"23/06/2023";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323836110";"000230491135001";"E-Commerce";"Community"
"228860873";"18/02/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323770570";"000228860873001";"E-Commerce";"Community"
"228946847";"10/11/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323776690";"000228946847001";"Call Center";"Konecta Recambio"
"230576831";"04/05/2021";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323842000";"000230576831001";"Call Center";"CAT TECHNOLOGIES"
"228730754";"24/07/2023";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323766290";"000228730754001";"Call Center";"Activo Contact Center"
"229980798";"13/11/2023";"Venta";"Iniciada";"In Progress";"Factura Emitida";"3532000229980798001";"000229980798001";"Call Center";"CAT TECHNOLOGIES"
"228900128";"23/06/2022";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323772090";"000228900128001";"E-Commerce";"Community"
"230477407";"05/10/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323835910";"000230477407001";"Call Center";"Contingencia Telefónica OC"
"228827808";"31/10/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323773500";"000228827808001";"Call Center";"Teleperformance Ventas"
"229497727";"06/10/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323807040";"000229497727001";"E-Commerce";"Community"
"230489437";"20/03/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323840090";"000230489437001";"Call Center";"Konecta Recambio"
"229231644";"03/05/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323796320";"000229231644001";"E-Commerce";"Community"
"230538322";"11/04/2021";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323841170";"000230538322001";"Call Center";"Konecta Recambio"
"229811369";"13/11/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"G00000998388650";"000229811369001";"Call Center";"Teleperformance Ventas"
"229373953";"12/04/2022";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323802700";"000229373953001";"E-Commerce";"Community"
"230575488";"04/05/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323845210";"000230575488001";"Call Center";"Konecta Recambio"
"229869663";"17/08/2021";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323815010";"000229869663001";"Call Center";"Konecta Recambio"
"230490007";"14/11/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323840130";"000230490007001";"Call Center";"Teleperformance Ventas"
"229256621";"11/04/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323797630";"000229256621001";"E-Commerce";"Community"
"229787070";"03/06/2022";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323832930";"000229787070002";"Call Center";"Teleperformance Ventas"
"230099565";"22/05/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323830030";"000230099565001";"E-Commerce";"Community"
"229536579";"11/04/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323810160";"000229536579001";"E-Commerce";"Community"
"229169465";"05/10/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323787180";"000229169465001";"E-Commerce";"Community"
"228722725";"04/05/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323819820";"000228722725001";"E-Commerce";"Community"
"230204849";"06/11/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323831450";"000230204849001";"E-Commerce";"Community"
"230367065";"30/09/2020";"Venta PortIn";"Activada";"Activated";"Despachado";"900000323760500";"000230367065001";"Call Center";"Teleperformance Ventas"
"230286659";"11/04/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323832220";"000230286659001";"E-Commerce";"Community"
"230276737";"08/11/2023";"Venta PortIn";"Activada";"Activated";"Despachado";"G00000998389760";"000230276737001";"Call Center";"Activo Contact Center"
"229204522";"21/09/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323794670";"000229204522001";"Call Center";"Teleperformance Ventas"
"229231538";"12/04/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323796300";"000229231538001";"E-Commerce";"Community"
"230491108";"06/11/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"3532000230491108001";"000230491108001";"E-Commerce";"Community"
"230595630";"11/04/2021";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323845630";"000230595630001";"E-Commerce";"Community"
"228319209";"26/09/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323734360";"000228319209001";"E-Commerce";"Community"
"229189551";"05/11/2020";"Venta";"Iniciada";"In Progress";"Factura Emitida";"900000323793590";"000229189551001";"E-Commerce";"Community"
